class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0xc8d99a5ef0748d4cca53042d3bd3130202d800448b77ac1e6ca245b1af786737,1760138741864,HYPE-USD,Open Short,-186.74,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-7256.903139999999,0,0
PERP,0x47198f56729f30474893042d3bd30e020623003c0d924f19eae23aa931930a31,1760138741447,HYPE-USD,Open Short,-0.3,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-11.658299999999999,0,0
PERP,0xa9c8e12138673034ab42042d3bd30d02034d0006d36a4f064d918c73f76b0a1f,1760138741395,HYPE-USD,Open Short,-0.67,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-26.03687,0,0
PERP,0xf6f56a861ed5edb8f86f042d3bd30d02034c006bb9d90c8b9abe15d8ddd9c7a3,1760138741395,HYPE-USD,Open Short,-0.3,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-11.658299999999999,0,0
PERP,0x42861e824b1088c143ff042d3bd30c0208750067e613a793e64ec9d50a1462ab,1760138741326,HYPE-USD,Open Short,-1.25,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-48.576249999999995,0,0
PERP,0x119156dfb1b8f9db130b042d3bd30c02086f00c54cbc18adb55a023270bcd3c5,1760138741326,HYPE-USD,Open Short,-0.01,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-0.38860999999999996,0,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1760138741018,HYPE-USD,Open Short,-229.76,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-8928.70336,0,0
PERP,0x80d6229cdc47c450824f042d3bd2b602042e0082774ae322249ecdef9b4b9e3b,1760138733844,HYPE-USD,Open Short,-482.75,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-18760.14775,0,0
PERP,0xf7d9d9a920f4339df953042d3bd222020595008ebbf752709ba284fbdff80d88,1760138722619,HYPE-USD,Open Short,-8.25,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-320.60325,0,0
PERP,0x30495d2dbb1290da31c3042d3bd22202058700135615afacd41208807a166ac4,1760138722619,HYPE-USD,Open Short,-1.32,0x1Da7920cA7f9ee28D481BC439dccfED09F52a237,0xffffffffffffffffffffffffffffffffffffffff,38.861,-51.29652,0,0
