class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
SPOT,0x545ecd6a841c4a6f55d8042d832ff002031100501f1f6941f82778bd43102459,1760513867433,PAXG-USD,Open Short,-0.005,0x24c084a4b974a892a40a9468d70eb76585f06b4c,0xffffffffffffffffffffffffffffffffffffffff,4220.3,-21.1015,0,0
SPOT,0x78114b0ed1ea4763798b042d832ff00202f600f46ced66351bd9f66190ee214e,1760513867433,PAXG-USD,Open Short,-0.012,0x24c084a4b974a892a40a9468d70eb76585f06b4c,0xffffffffffffffffffffffffffffffffffffffff,4220.3,-50.643600000000006,0,0
SPOT,0xd24a89fa2b238a91d3c4042d83054502024100dfc626a9637613354cea27647c,1760512968123,PAXG-USD,Open Short,-0.017,0x24c084a4b974a892a40a9468d70eb76585f06b4c,0xffffffffffffffffffffffffffffffffffffffff,4217.7,-71.7009,0,0
PERP,0xa0851bdf6e38d10da1fe042d82fe9102051e00c5093befdf444dc7322d3caaf8,1760512832440,PAXG,order,-0.017,0x24c084a4b974a892a40a9468d70eb76585f06b4c,limit,4217.7,-71.7009,-1,0
PERP,0x03b1da46094c81a8052b042d82ea9e0201f6002ba44fa07aa77a8598c8405b92,1760512425975,PAXG,order,-0.017,0x24c084a4b974a892a40a9468d70eb76585f06b4c,limit,4220,-71.74000000000001,-1,0
PERP,0x85689f33bad1dea586e2042d82e6d80204d5001955d4fd7729314a8679d5b890,1760512349974,PAXG,order,-0.017,0x24c084a4b974a892a40a9468d70eb76585f06b4c,limit,4220.3,-71.74510000000001,-1,0
PERP,0x1710f7680093427f188a042d82e3f0020219004d9b966151bad9a2babf971c69,1760512291599,PAXG,order,-0.017,0x24c084a4b974a892a40a9468d70eb76585f06b4c,limit,4222,-71.774,-1,0
PERP,0x2f7ec4d95601bc6930f8042d82d1e40205c400bef104db3bd347702c15059653,1760511916925,PAXG,order,0.034,0x24c084a4b974a892a40a9468d70eb76585f06b4c,limit,4216.3,143.35420000000002,-1,0
TRANSFER,0xc03f73b2c4ef8b41c1b9042d82d11602016800985fe2aa1364081f0583e3652c,1760511900051,USDC,InternalTransfer,30,SPOT,PERP,1,30,0,0
TRANSFER,0x4d38bb8396bf041b4eb2042d825a2a020329006931b222edf10166d655b2de05,1760509443504,USDC,Transfer,30,0x364f7fd945b8c76c3c77d6ac253f1fea3b65e00d,0x24c084a4b974a892a40a9468d70eb76585f06b4c,1,30,0,0
