class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0x922ada1583e0175a93a4042d3a6101010100f1fb1ee3362c35f3856842e3f145,1760130964831,PUMP-USD,Auto-Deleveraging,-426618280,0xCA0Eb15d0efF480c15aC9071db8F47aF9b35ce98,0xffffffffffffffffffffffffffffffffffffffff,0.003908,-1667224.23824,0,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1760040938019,PUMP-USD,Twap,-100000000,0xCA0Eb15d0efF480c15aC9071db8F47aF9b35ce98,0xffffffffffffffffffffffffffffffffffffffff,0.005384395298553222,,,
TRANSFER,0x2fe62e610c68c179315f042d2709a702040b0046a76be04bd3aed9b3cb6c9b63,1760028174963,USDC,Transfer,-2000000.0082,0xca0eb15d0eff480c15ac9071db8f47af9b35ce98,0x975b62b498ed8369f781c2bd2e181ee53612a704,1,-2000000.0082,0,0
TRANSFER,0x35297897a696c72436a3042d2706d5020440007d4199e5f6d8f223ea659aa10e,1760028118595,USDC,InternalTransfer,2000000,PERP,SPOT,1,2000000,0,0
DEPOSIT,0x2d5847afdf6e20ae96509857151a177c2635b186573e4f6f015b9d1db4784b54,1760027981564,USDC,Deposit,1999899.2,Arbitrum,0xCA0Eb15d0efF480c15aC9071db8F47aF9b35ce98,1,1999899.2,0,0
DUST,00000000000000000000000000000000000000140,1759536000006,USDT0,Spot Dust Conversion,-3.2e-7,0xCA0Eb15d0efF480c15aC9071db8F47aF9b35ce98,0xffffffffffffffffffffffffffffffffffffffff,1.0008,-3.20256e-7,0,0
TRANSFER,0x8f93af123bc26f9d910d042cbece0902030700f7d6c58e6f335c5a64fac64988,1759478615383,USDT0,Transfer,-99896.652085,0xca0eb15d0eff480c15ac9071db8f47af9b35ce98,0x200000000000000000000000000000000000010c,1.00085,-99981.56423927225,0,0
SPOT,0xe62406a6f0c1f191e79d042cbeccee02079e008c8bc5106389ecb1f9afc5cb7c,1759478592016,USDT0,Buy,99910.08,0xffffffffffffffffffffffffffffffffffffffff,0xCA0Eb15d0efF480c15aC9071db8F47aF9b35ce98,1.0009,28232.856722999997,0,0
TRANSFER,0x3017799b6402eb8f3191042cbecbcc02021c0080ff060a61d3e024ee2306c579,1759478567734,USDC,InternalTransfer,100000,PERP,SPOT,1,100000,0,0
DUST,00000000000000000000000000000000000000141,1759363200016,USDT0,Spot Dust Conversion,-8.7e-7,0xCA0Eb15d0efF480c15aC9071db8F47aF9b35ce98,0xffffffffffffffffffffffffffffffffffffffff,1.0006,-8.705219999999999e-7,0,0
